Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2016,10/19/2016,EQUINE DEATH,Belmont Park (NYRA),After the finish,Racing,Thoroughbred,Clear,She's My Ghibli,GARY P. GULLO,,She's My Ghibli-Tr. Gary Gullo-eased to wire-pulled up-rider off-vanned to Ruffian-xrays revealed slab fx R carpus-euthanized,Equine Death
2017,10/14/2017,EQUINE DEATH,Belmont Park (NYRA),Barn #56,Other,Thoroughbred,,Hold On Momma,GARY P. GULLO,,Hold On Momma-Tr. G. Gullo suffered a severe case of colic - euthanized,
2018,12/25/2018,EQUINE DEATH,Belmont Park (NYRA),Stall,Other,Thoroughbred,,Three Eighty Eight,GARY P. GULLO,,Three Eighty Eight-Tr-G. Gullo-euthanized due to pneumonia of approximately two weeks duration.,Euthanasia
2018,06/17/2018,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred,85* Clear,Freeze the Account,GEORGE R. WEAVER,RAJIV C. MARAGH,Freeze the Account - Tr-George Weaver - suffered Fx LF cannon/sesamoids-vicinity of the 1/8 pole-euthanized on the track,Equine Death
2016,10/05/2016,RACING INCIDENT,Belmont Park (NYRA),Paddock,Racing,Thoroughbred,,Achnaha,GEORGE R. WEAVER,MANUEL FRANCO,Achnaha-Tr.- George Weaver-scratched from race-tying up-horse treated-doing fine,
2016,06/18/2016,FALL OF HORSE,Belmont Park (NYRA),1/16 pole,Racing,Thoroughbred,80* clear,Maybry's Conquest,GEORGE R. WEAVER,,Maybry's Conquest-Tr. George Weaver-fell into portable rail-both horse and rider walked off track,
2019,12/21/2019,EQUINE DEATH,Belmont Park (NYRA),BB TT,Other,Thoroughbred,32,OUTSIDE INFLUENCE,GREGORY D. SACCO,RICARDO E. ARREDONDO CONTREAS,OUTSIDE INFLUENCE  Tr: G Sacco while training sustained a LH compound  open distal fx at the 1/16 pole at Belmont Training Track and was euthanized.,Equine Death
2019,06/14/2019,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,,Peculiar Sensation,GREGORY J. DIPRIMA,DYLAN DAVIS,PECULIAR SENSATION (Tr:  G. DiPrima; J:  Dylan Davis) was pulled up after the race  and removed via the horse ambulance.,
2017,07/02/2017,EQUINE DEATH,Belmont Park (NYRA),Chute from gate to main track,Racing,Thoroughbred,85* Clear,Dream Player,GREGORY J. DIPRIMA,,Dream Player-Tr. Greg DiPrima-unseated rider in post parade-ran off main track-flipped over inside rail of training track sustaining blunt trauma-euthanized,Equine Death
2017,05/28/2017,EQUINE DEATH,Belmont Park (NYRA),1/16 pole,Racing,Thoroughbred,70* Cloudy,Storm the Shore,GREGORY J. DIPRIMA,,Storm the Shore-T. Gregory DiPrima-pulled up-splint applied-vanned off-fx LF leg-euthanized,Equine Death
2019,04/11/2019,EQUINE DEATH,Belmont Park (NYRA),3/4 pole,Training,Thoroughbred,50* Partly cloudy,La Manche,HAROLD  (JAMES) J. BOND,,Horse La Manche/Tr H. J. Bond sustained injury to his right front breezing and was euthanized.,
2017,06/27/2017,EQUINE DEATH,Belmont Park (NYRA),Finish Line-Training Track,Training,Thoroughbred,758,Flying Bullet,JAMES A. JERKENS,,Flying Bullet-Tr. Jimmy Jerkens-sustained injury while breezing-splint applied-ambulanced to barn-xrays revealed fx RF leg-euthanized,Equine Death
2020,06/23/2020,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,warm  humid  81 degrees,BONSPIEL (KY),JAMES A. JERKENS,KELVIN PAHAL,BONSPIEL  racehorse  sustained a leg injury galloping on 6/23/20 at Belmont TT; ambulanced to Ruffian for surgical repair which failed and horse was euthanized. Investigation initiated.,Equine Death
2019,06/29/2019,RACING INCIDENT,Belmont Park (NYRA),Belmont Racetrack,Racing,Thoroughbred,,Lion Dance,JAMES A. JERKENS,MANUEL FRANCO,LION DANCE (Tr:  J. A. Jerkens;  J:  Manuel Franco) was pulled up in the vicinity of the 1/8 pole  and was removed via the horse ambulance.  Investigation to continue.,
2019,09/21/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,Fair,Meet Me in L A,JAMES A. JERKENS,JOSE LEZCANO,Meet me in L A - Tr. James Jerkens - Pulled up during the race  suffering injury necessitating Euthanasia.  Investigation continues.,
2017,11/18/2017,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,,Turcotte,JAMES H. ISELIN,,Turcotte-Tr.-James Iselin. Sustained RFL condylar Fx breezing on the Belmont MT @the 1/8 pole.Vaned to the Ruffian Center.Euthanized after x-rays revealed the severity of the injury.,Euthanasia
2019,09/19/2019,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,Sunny/70,COFFEE CRUSH,JAMES J. TONER,JAVIER J. CASTELLANO,COFFEE CRUSH - Tr James Toner -  suffered apparent cardiovascular collapse during training on pony track.,Equine Death
2019,11/29/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont,Other,Thoroughbred,n/a,SWEET TIMING,JAMES J. TONER,,SWEET TIMING (Tr James Toner) stall bound since 10/12/19 due to pelvic injury  developed fever and pleuropneumonia. Euthanized due to poor prognosis.,
2020,06/18/2020,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,70 degrees; cloudy,G C CAM (KY),JAMES T. RYERSON,HEMAN K. HARKIE,G C CAM  racehorse  on Friday  6/18/20  in race 6 at Belmont Park  was pulled up after the finish and was subsequently vanned off.,Injury
2017,04/28/2017,EQUINE DEATH,Belmont Park (NYRA),3/16  pole,Training,Thoroughbred,Cloudy,Cornedbeefncabbage,JAMES T. RYERSON,,Cornedbeefncabbage-Tr. James Ryerson-pulled up from breezing-fx both LF sesamoids-euthanized on track,Equine Death
2019,09/22/2019,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,79,Funnypointofview,JAMES T. RYERSON,JOSE L. ORTIZ,Horse - Funnypointofview - Trainer James Ryerson -  pulled up during the running of the 6th race  and was vanned off the track.,
2018,12/07/2018,EQUINE DEATH,Belmont Park (NYRA),Belmont Backstrech,Other,Thoroughbred,Cold and Clear,Formal Event,JAMES T. RYERSON,,FORMAL EVENT   (Tr. James Ryerson) found deceased in stall. Horse was under treatment by Veterinarian for Gastrointestinal issues.,Equine Death
2017,09/29/2017,EQUINE DEATH,Belmont Park (NYRA),Belmont,Other,Thoroughbred,,Rule the City,JAMES W. FERRARO,,Rule the city.Tr-James Ferraro. Euthanized after becoming endotoxic following surgery.,Euthanasia
2017,06/28/2017,EQUINE DEATH,Belmont Park (NYRA),Barn,Other,Thoroughbred,,Adirondack Dancer,JASON SERVIS,,Adirondack Dancer-Tr. Jason Servis-euthanized due to severe lamintis,Equine Death
2020,04/01/2020,EQUINE DEATH,Belmont Park (NYRA),,Other,Thoroughbred,56,Peter's Project,JEFFREY S. ENGLEHART,,H-PETER'S PROJECT (Tr. J Englehart) diagnosed with colic  worsened throughout day  necessitating euthanasia.,Euthanasia
2016,01/02/2016,EQUINE DEATH,Belmont Park (NYRA),Training Track-1/8 pole,Training,Thoroughbred,,Sharyn's Deram,JEREMIAH C. ENGLEHART,,Sharyn's Dream-Tr. Jeremiah Englehart-fx LR leg while galloping on training track-euthanized on track,Equine Death
2016,11/12/2016,EQUINE DEATH,Belmont Park (NYRA),Finish line,Training,Thoroughbred,45* Clear,Englehart,JEREMIAH C. ENGLEHART,,Englehart-Tr. Jeremiah Englehart-sustained injury breezing-exam revealed fx LF leg-euthanized on track,Equine Death
2019,02/03/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,Cold  clear,Miss Marion,JEREMIAH C. ENGLEHART,KIDANY REYES,MISS MARION-Tr. Jeremiah Englehart-Fx LF Cannon bone-fell at the 1/8 pole  unseating rider-Miss Marion euthanized on track.,Euthanasia
2019,10/24/2019,RACING INCIDENT,Belmont Park (NYRA),Belmont Racetrack,Racing,Thoroughbred,Clear and sunny,DREAMZAPPER,JEREMIAH C. ENGLEHART,JUNIOR R. ALVARADO,DREAMZAPPER ( TR: Jeremiah Englehart; Jockey: Junior Alvarado) was pulled up in the 6th race at the 1/4 pole and vanned off the track as a precaution.,
2020,07/20/2020,EQUINE DEATH,Belmont Park (NYRA),Stable Area,Other,Thoroughbred,,Cleon Jones,JEREMIAH C. ENGLEHART,,Cleon Jones - Tr. Jeremiah Englehart - Chronic severe laminitis developed as result of staph infection/euthanized,Equine Death
2019,09/06/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Racetrack,Racing,Thoroughbred,Rainy; Overcast,Passporttovictory,JEREMIAH C. ENGLEHART,MANUEL FRANCO,PASSPORTTOVICTORY-Tr. Jeremiah Englehart-pulled up in the 3rd Race and vanned off the track in horse ambulance. Radiographs revealed sesamoid injuries requiring euthanasia.,Euthanasia
2019,09/06/2019,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,,Royal Inheritance,JEREMIAH C. ENGLEHART,PEDRO L. COTTO,ROYAL INHERITANCE-Tr. Jeremiah Englehart-collapsed and died while training at Belmont Racetrack.  Investigation initiated.,Equine Death
2019,07/05/2019,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,,Sue's Fortune,JEREMIAH C. ENGLEHART,JUNIOR R. ALVARADO,SUE'S FORTUNE (Tr: J. C. Englehart;  J:  Junior Alvarado) was pulled up in the vicinity of the head of the lane  and was taken back to the barn via the Horse Ambulance.,
2019,04/04/2019,EQUINE DEATH,Belmont Park (NYRA),3/16 th pole,Training,Thoroughbred,,Luz Mimi,JEREMIAH C. ENGLEHART,,Horse Luz Mimi/Tr-J. Englehart suffered a fracture to her right front leg and X-rayed and euthanized. Investigation to follow,
2018,10/05/2018,RACING INCIDENT,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,75* cloudy,Missbigtimes,JEREMIAH C. ENGLEHART,DAVID L. COHEN,Horse Missbigtimes/J. Englehart-pulled up at the 1/4 pole-walked off the track under own power. No injuries reported,
2020,10/19/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Training,Thoroughbred,71,Harris Bay,JOHN C. KIMMEL,,H:Harris Bay  Tr: John Kimmel  Colt sustained injury while breezing at Belmont main @ the 1/8 pole. Dr. Bogatch treated the horse and after radiographed found a closed RF comminuted biaxial PSB fractures. Horse was Euthanized by Dr. Bogatch.,
2020,07/12/2020,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,,YELLOW BRICK ROAD,JOHN C. KIMMEL,,Yellow Brick Road Tr: John Kimmel Horse sustained injury while finishing 1/2 mile breezenear finish lineon the TT. Filly euthanized.,Euthanasia
2018,05/03/2018,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Training,Thoroughbred,65* Clear,Belt High,JOHN C. KIMMEL,,Belt High-Tr-J. Kimmel-Fx RF cannon bone/sesamoids-euthanized on the track.,
2017,04/09/2017,EQUINE DEATH,Belmont Park (NYRA),Approaching the Wire,Training,Thoroughbred,,Mac's Posse,JOHN D. MORRISON,,Mac's Posse-Tr. John Marrision-fell while breezing-several attempts to stand unsuccessful-determined he sustained severe  traumatic back/pelvic injury-euthanized on track,Equine Death
2020,06/20/2020,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,82,Rare Stripe,JOHN (JACK) W. SISTERSON,JOEL ROSARIO,Rare Stripe Tr: Jack Sisterson J: Joel Rosario after the wire horse went down after the wire. Horse vanned off went into van under its own power.,Injury
2016,06/20/2016,EQUINE DEATH,Belmont Park (NYRA),1/16 pole,Training,Thoroughbred,70* Clear,todo onota,JOHN N. QUILES,,Todo Onota-Tr. John Quiles suffered injury to left front leg-splint applied-ambulanced off-xrays revealed fx both LF sesamoids-euthanized,Equine Death
2020,10/04/2020,RACING INCIDENT,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,Partial Sunny,BACKTOHISROOTS,JOHN P. TERRANOVA II,JOSE LEZCANO,Backtohisroots (horse)  Tr-John P. Terranova II  Jockey-Jose Lezcano  during the 9th race  horse unseated the rider shortly after the start of the race.,
2017,09/22/2017,FALL OF HORSE,Belmont Park (NYRA),,Racing,Thoroughbred,,there they go,JOHN P. TERRANOVA II,ANGEL S. SAEZ-ARROYO,Fastlanefrontman-Tr.Dutrow/ There They Go-Tr. Terranova/ Shoot the Gap-Tr. Albertrani,
2020,09/21/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont,Training,Thoroughbred,Sunny,Tatterazzi,JOHN P. TERRANOVA II,SIMON A. HARRIS,H-Tatterazzi  Tr-Terranova  sustained closed leg injuries galloping out after breezing. Horse was euthanized by Veterinarian  Dr. Nordberg due to his injuries.,
2020,11/29/2020,RACING INJURY,Belmont Park (NYRA),,Training,Thoroughbred,,Pure Wow,JOHN P. TERRANOVA II,SIMON A. HARRIS,H: Pure Wow Tr:J P Terranova Ex Rider Simon Harris states he heard a Pop and eased the 2-year-old filly as quickly as he could.The horese was givin a abulance ride back to the Barn Where Dr Hunt examed the animal. It was detemined that her racing carrer,
2020,07/12/2020,EQUINE DEATH,Belmont Park (NYRA),Widener Turf,Racing,Thoroughbred,Clear,Crater Rim,JOHN S. PREGMAN JR,HEMAN K. HARKIE,Crater Rim - Tr. John Pregman Jr. - Vanned off with lacerated tendon/euthanized,Equine Death
2017,01/23/2017,EQUINE DEATH,Belmont Park (NYRA),Barn 61,Other,Thoroughbred,,MASSENA,JOHN T. TOSCANO JR,,Massena-Tr. John Toscano  Jr.-severe laminitis due to post op complications-euthanized-investigation to follow,Equine Death
2020,09/25/2020,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,,Missle Bomb,JOHN T. TOSCANO JR,KENDRICK CARMOUCHE,H: Missle Bomb Tr: JT Toscano  Horse was vanned off after the end of the 3 Race.,
2018,05/24/2018,EQUINE DEATH,Belmont Park (NYRA),unknown,Training,Thoroughbred,,MARK MY STYLE,JOHN T. TOSCANO JR,,Mark My Style-Tr-J. Toscano Jr. suffered a soft tissue injury breezing-did not respond to treatment-euthanized.,
2018,05/31/2018,RACING INJURY,Belmont Park (NYRA),,Racing,Thoroughbred,75* Cloudy,Combat Controller,JOHN T. TOSCANO JR,TREVOR M. MCCARTHY,Combat Controller-Tr-J. Toscano Jr.-vanned off after the finish of the 7th race.,
2016,09/24/2016,RACING INJURY,Belmont Park (NYRA),after finish,Racing,Thoroughbred,70* cloudy,Speeding Comet,JOHN T. TOSCANO JR,MICHAEL J. LUZZI,Speeding Comet-Tr. John Toscano-pulled up-vanned off-sustained chip in knee-moved to clinic-chip removed-doing very well post op.,Injury
2020,11/09/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Training,Thoroughbred,74,Unbridled Mischief,JONATHAN S. THOMAS,AUTUMN L. LAVERTO,H: Unbridled Mischief  Tr: Thomas Jonathan  horse sustained left front leg injuries while breezing on the Belmont TT at the 3/16 pole. Euthanized by Dr. Hunt on track.,
2019,09/14/2019,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,Clear and cool,LUTSKY,JORGE I. NAVARRO,KENDRICK CARMOUCHE,LUTSKY - Tr: Jorge Navarro - was vanned off the track after the finish. Investigation continues.,
2019,10/11/2019,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,cool and cloudy,Whiskey Is My Wine,JORGE R. ABREU,IRAD ORTIZ JR,WHISKEY IS MY WINE -Trainer J. Abreu - 5th race  was pulled up and vanned off the track after crossing the wire.,
2020,09/19/2020,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,Sunny,Flashpackinbarbie,JORGE R. ABREU,MANUEL FRANCO,H-Flashpackinbarbie  Jockey-Manuel Franco  Tr-Jorge Abbreu  During the 8th race as the field was loading at the gate  horse acted up and flipped  Horse was scratched by NYRA Vet Danielle Schilpp. Jockey unharmed and horse appeared fine.,
2016,01/22/2016,EQUINE DEATH,Belmont Park (NYRA),1/4 pole - Training Track,Training,Thoroughbred,,Mini Muffin,JOSE E. POLANCO,,Mini Muffin-Tr. Jose Polanco-pulled up-splint applied-ambulanced to barn-radiographs revealed fx both LF sesamoids-euthanized,Equine Death
2017,10/31/2017,EQUINE DEATH,Belmont Park (NYRA),7/8 pole,Training,Thoroughbred,,Hyde Park Express,JOSEPH A. LOSTRITTO,,Hyde Park Express-Tr-J. Lostritto was struck by horse Elite Kid while breezing on the Belmont TT and was euthanized on the track-Investigation to follow,
2016,06/16/2016,RACING INCIDENT,Belmont Park (NYRA),Just after start-shortly after exiting gate,Racing,Thoroughbred,Cloudy,Stella Who,JOSEPH G. PARKER,MICHAEL J. LUZZI,Stella Who-Tr. Joseph G. Parker-lunged up striking left side of gate with head-vanned off-horse sent to farm in Pennsylvania and will not likely race again,
2016,05/20/2016,EQUINE DEATH,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,,Rock Show,JOSEPH G. PARKER,ELIAS PELTROCHE,Rock Show-Tr. Joseph Parker-pulled up-rider off-RF splint applied-ambulanced off-xrays revealed RF sesamoid fx and suspensory rupture-euthanized,Equine Death
2017,11/11/2017,EQUINE DEATH,Belmont Park (NYRA),7/8 pole,Training,Thoroughbred,,Elite Kid,JOSE P. NODA - FERNANDEZ,,Elite Kid/Trainer J. Noda-Fernandez-collided with horse Hyde Park Express on Belmont TT-sent to Ruffian  euthanized 11/11 after no improvement,Euthanasia
2017,10/31/2017,EQUINE DEATH,Belmont Park (NYRA),7/8 pole,Training,Thoroughbred,,Elite Kid,JOSE P. NODA - FERNANDEZ,,Elite Kid/Trainer J. Noda-Fernandez-collided with horse Hyde Park Express on Belmont TT-sent to Ruffian  euthanized 11/11 after no improvement,
2020,10/11/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,69,Niente,JUAN C. VAZQUEZ,JOSE LEZCANO,H: Niente TR: JC Vazquez Horse  DNF Rider Jose Lezcano eased the horse and he was vanned off.,
2016,10/22/2016,STEWARDS/VETS LIST,Belmont Park (NYRA),Around 3/8 pole,Racing,Thoroughbred,CLOUDY/RAIN,E Warfare,JUAN ORTIZ,LUIS SAEZ,E Warfare-Tr. Juan Ortiz-pulled up-ambulanced off-Bled-treated-doing good,Steward's List
2017,09/23/2017,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,,liquid aloha,KELLY J. BREEN,JULIEN R. LEPAROUX,Liquid Aloha Tr. Kelly Breen Horse pulled up at 16th pole and vanned off investigation to follow,
2017,06/11/2017,RACING INJURY,Belmont Park (NYRA),After finish,Racing,Thoroughbred,,SADIE BE GOOD,KIARAN P. MCLAUGHLIN,JOSE LEZCANO,Sadie Be Good-Tr. Kiaran McLaughlin-pulled up-ambulanced off-retired,
2019,09/07/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,76,Mo Moxie,KIARAN P. MCLAUGHLIN,DEIVIS ARIAS,MO  MOXIE-Tr. K. McLaughlin-spooked and flipped while jogging on Belmont training track-Sustained injury to R Tibia necessitating euthanasia.,Euthanasia
2018,06/08/2018,RACING INJURY,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,,WESTWOOD,KIARAN P. MCLAUGHLIN,JOHN R. VELAZQUEZ,Westwood-Tr-K. McGauglin was pulled up at the 1/4 pole-vanned off-Fx coffin bone in foot-will be retired,
2018,05/06/2018,RACING INJURY,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,58* Cloudy,FAYEQ,KIARAN P. MCLAUGHLIN,JUNIOR R. ALVARADO,Fayeq-Tr-K. Mclaughin-pulled up in stretch-vanned off-Fx cannon-surgery-to be retired,Injury
2018,01/19/2018,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,,OLD DUBAI,KIARAN P. MCLAUGHLIN,,Old Dubai-Tr. Kiaran McLaughlin-fell at 7/8 pole breezing on training track  subsequently euthanized on track due to compound fracture,Euthanasia
2020,05/21/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Main,Training,Thoroughbred,sunny  65,Lil Morning Star,KIM A. LAUDATI,KIM A. LAUDATI,H- LIL MORNING STAR (Tr. Kim Laudati) sustained injury to left front leg  ambulanced to barn  where vet examination revealed necessity for euthanasia. Investigation initiated.,Euthanasia
2020,07/04/2020,FALL OF RIDER,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,,Steelersfanforlife,LEAH A. GYARMATI,ROMERO R. MARAGH,Steelersfanforlife Tr: Leah Gyarmati J: Romero Ramsay Maragh Jockey was unseated after the end of the race.,
2020,03/09/2020,EQUINE DEATH,Belmont Park (NYRA),in stall,Other,Thoroughbred,warm 65,Krugerrand,LEAH A. GYARMATI,,H- KRUGERRAND (Tr. L. Gyarmarti) found to have severe laminitis LH  euthanized due to poor prognosis.,Euthanasia
2016,02/18/2016,EQUINE DEATH,Belmont Park (NYRA),Training Track,Training,Thoroughbred,Clear,Scatoosh,LEAH A. GYARMATI,MARIO HERNANDEZ,Scatoosh-Tr. Leah Gyarmati-fx RF leg while breezing-euthanized on TT,Equine Death
2019,06/28/2019,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,88,With Caution,LEO O'BRIEN,KEITH L. O'BRIEN,WITH CAUTION (Tr: Leo O'Brien) sustained P1 injury during training.   Sent to Ruffian for repair.  Died from complications from Anesthesia.,Injury
2020,01/30/2020,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,37,RAISE UP 17,LEO O'BRIEN,KEITH L. O'BRIEN,Racehorse RAISE UP 17; Tr; Leo O'Brien; Rider: Keith O'Brien  while training at Belmont Park on the morning of 1/30/20 sustained an injury to LH cannon bone necessitating euthanasia.,Euthanasia
2018,10/14/2018,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,60* Cloudy,Tell You What,LINDA L. RICE,JOSE LEZCANO,Tell You What-T: Linda Rice- J: Jose Lezcano- suffered Fx RF Cannon bone near the 1/4 pole  resulting in humane euthanasia on the track.,Euthanasia
2020,04/17/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont TT,Training,Thoroughbred,50,Pals Invader,LINDA L. RICE,OSCAR D. GOMEZ,H-Pals Invader sustained leg injury at the 7/8 pole while galloping out after breezing  with subsequent examination confirming necessity for euthanasia.,Euthanasia
2019,07/06/2019,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,,Nicodemus,LINDA L. RICE,JOSE L. ORTIZ,NICODEMUS (Tr:  Linda Rice;  J:  Jose Ortiz) was pulled up after the finish  and was removed via the horse ambulance.,
2019,09/14/2019,EQUINE DEATH,Belmont Park (NYRA),,Racing,Thoroughbred,Clear and cool.,Rhode Island,LINDA L. RICE,JOSE LEZCANO,RHODE ISLAND; Tr: Linda Rice; was pulled up in the vicinity of the 1/2 mile pole and vanned off   was later euthanized due to sesamoid injuries.,Equine Death
2020,07/02/2020,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,Hot  humid  90 degrees,Nicodemus,LINDA L. RICE,JOHN R. VELAZQUEZ,NICODEMUS  racehorse  Tr. Linda Rice  on 7/2/20 in the 7th race at Belmont  did tire  cross the wire and was vanned off the track by ambulance.,
2019,10/19/2019,RACING INCIDENT,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,59,Newly Minted,LINDA L. RICE,JOSE LEZCANO,Newly Minted-Trainer Linda Rice-cstumbled and fell after the wire-vanned off the track.  Horse not injured.,
2019,11/21/2019,EQUINE DEATH,Belmont Park (NYRA),,Other,Thoroughbred,53,LONG HAUL BAY,LINDA L. RICE,,LONG HAUL BAY; Tr: Linda Rice; PONY retired racehorse  was euthanized in barn this morning due to severe colic.,
2019,06/09/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Main,Training,Thoroughbred,74,SUCCESSFUL MISSION,LUIS A. MIRANDA,LUIS A. MIRANDA,SUCCESSFUL MISSION  Tr. MIRANDA  LUIS A. sustained injuries while breezing on the Belmont Main. Radiographs revealed injuries necessitating euthanasia.,Equine Death
2017,05/26/2017,FALL OF RIDER,Belmont Park (NYRA),Gate,Racing,Thoroughbred,72* Partly cloudy,Morrison,MARC (JOE) J. SHARP,,Morrison-Tr. Joe Sharp-unseated rider loading starting gate and ran loose-horse scratched from race-no reported injuries to horse or rider,
2016,09/09/2016,RACING INCIDENT,Belmont Park (NYRA),1/16 pole,Racing,Thoroughbred,88* Partly Cloudy,Chomsky,MARK A. HENNIG,JUNIOR R. ALVARADO,Chomsky-Tr. Mark Hennig-pulled up-walked off-no injury reported-back training and racing,
2018,06/27/2018,RACING INJURY,Belmont Park (NYRA),After finish line,Racing,Thoroughbred,,Bernin' Thru Gold,MARK A. HENNIG,JAVIER J. CASTELLANO,Bernin' Thru Gold(Tr-M. Hennig) fell after the finish of the 6th race and unseated his rider. Bernin' Thru Gold was vanned off the track,
2017,01/27/2017,EQUINE DEATH,Belmont Park (NYRA),Training Track 1/4 pole,Training,Thoroughbred,,Yankee Tales,MARK A. HENNIG,,Yankee Tales-Tr. Mark Hennig-injured breezing-unseated rider & ran loose caught on horse path-fx LF sesamoids-euthanized,Equine Death
2019,12/06/2019,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,Clear  mild temperatures,GIO GAME (KY),MARK E. CASSE,AMY L. MULLEN,GIO GAME (KY)  Tr: Mark Casse;  Ex. Rider: Amy Mullen; broke from the gate while training at Belmont Park T.T. and appeared to have a cardiovascular collapse. Necropsy ordered; Exercise Rider not injured. Investigation iniated.,Equine Death
2019,10/26/2019,RACING INCIDENT,Belmont Park (NYRA),,Racing,Thoroughbred,cool and overcast,Native Dawn,MARK E. CASSE,JOSE L. ORTIZ,NATIVE DAWN; Tr: Mark Casse; Jockey: Jose Ortiz; lost action  fell back and was pulled up at the 1/8 pole and vanned off the racetrack in the horse ambulance.,
2020,03/22/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,44,Starting Point,MERTKAN KANTARMACI,,H-STARTING POINT (Tr. M. Kantarmaci) sustained RF leg injury while galloping out after breezing on Belmont Training Track. Subsequent radiographs revealed necessity for euthanasia. Investigation initiated.,Euthanasia
2018,11/29/2018,EQUINE DEATH,Belmont Park (NYRA),Belmont Park Training Track,Training,Thoroughbred,,Malibu Strings,MERTKAN KANTARMACI,,Malibu Strings (Tr: Martkan Kantarmaci) was injured breezing on the Belmont Training Track.  Sent to Ruffian center.  X-rayed  poor prognosis; euthanized.,Equine Death
2019,01/08/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont-Ruffian,Other,Thoroughbred,,Doyouknowsomething,MERTKAN KANTARMACI,,Doyouknowsomething sustained left elbow injury in stall  ambulanced to Ruffian clininc  where radiographs revealed fracture necessitating euthanasia.,Euthanasia
2017,11/15/2017,EQUINE DEATH,Belmont Park (NYRA),Belmont,Other,Thoroughbred,,Rainy Night,MICHAEL A. MICELI,,Rainy Night - Tr.Michael Miceli. Found lame in her stall on 11/15. Euthanized on 11/22 for severe hemorrhage from RH Gastrocnemius tear/trauma.,Injury
2016,06/19/2016,FALL OF HORSE,Belmont Park (NYRA),after crossing finish line first,Racing,Thoroughbred,Clear,Too Wild to Repent,MICHAEL A. MICELI,ERIC CANCEL,Too Wild to Repent-Tr. Mike Miceli-fell-unseating Jockey Eric Cancel-ambulanced off-no reported injuries to jockey-no apparent injuries to horse,
2018,07/05/2018,RACING INCIDENT,Belmont Park (NYRA),After finish,Racing,Thoroughbred,88* Clear,A Dixie Twister,MICHAEL A. MICELI,JOEL ROSARIO,A Dixie Twister-Tr-M. Miceli-pulled up after the finish-of the 2nd race-vanned off-no injuries found-possible heat exhaustion,
